make,model,year_of_manufacture,color,condition,mileage,engine_size,registered_city,selling_condition,bought_condition,transmission_system
Toyota,Corolla,2006,Blue,Local Used,281806,1800,ABUJA,Registered,Registered,Automatic
Lexus,RX,2004,Black,Local Used,198307,3500,N/A,Registered,Registered,Automatic
Toyota,Venza,2013,Black,Local Used,179378,2700,LAGOS,Registered,Imported,Automatic
Hyundai,Sonata,2015,Black,Local Used,145651,2400,N/A,Registered,Imported,Automatic
Lexus,ES,2010,Gold,Local Used,95113,3500,Lagos,Registered,Imported,Automatic
Toyota,Camry,2009,Blue,Local Used,185234,2500,N/A,Registered,Imported,Automatic
Kia,Rio,2014,Black,Local Used,80940,1600,LAGOS,Registered,Imported,Manual
Ford,F-150,2007,White,Local Used,372142,5400,LAGOS,Registered,Imported,Automatic
Toyota,Corolla,2018,Gray,Local Used,N/A,1800,Rivers state,Registered,Imported,Automatic
Lexus,RX 350,2013,Gray,Foreign Used,230443,3500,N/A,Imported,Imported,Automatic
Honda,Civic,2004,Gray,Local Used,287862,1700,N/A,Registered,Registered,Automatic
Honda,Odyssey,2014,Silver,Foreign Used,178559,3500,N/A,Imported,Imported,Automatic
Honda,CR-V,2000,Green,Local Used,243689,2000,N/A,Registered,Registered,Automatic
Toyota,Camry,2003,Red,Local Used,201136,2400,N/A,Registered,Registered,Automatic
Lexus,GS,2007,Blue,Local Used,425998,3500,N/A,Registered,Registered,Automatic
Toyota,Sienna,2007,Gray,Local Used,161315,3500,LAGOS,Registered,Registered,Automatic
Toyota,Corolla,2003,Blue,Local Used,152509,1800,Abuja,Registered,Registered,Automatic
Toyota,Sienna,2005,Gold,Foreign Used,410283,3300,N/A,Imported,Registered,Automatic
Honda,Accord Crosstour,2010,Red,Local Used,140736,3500,ABUJA,Registered,Imported,Automatic
Toyota,Camry,2015,Black,Foreign Used,249468,2500,N/A,Imported,Imported,Automatic
Toyota,Camry,2007,Black,Local Used,528858,2500,Abuja,Registered,Imported,Automatic
BMW,X6,2011,Red,Local Used,217315,4400,Abuja,Registered,Registered,Automatic
Toyota,Camry,2007,Silver,Local Used,131095,2400,Lagos,Registered,Registered,Automatic
Hyundai,Sonata,2011,Black,Local Used,2984430,2000,Abuja,Registered,Registered,Automatic
Toyota,Corolla,2008,Black,Local Used,46928,1800,EDO,Registered,Registered,Automatic
Honda,CR-V,2007,Red,Local Used,164320,2400,EDO,Registered,Registered,Automatic
Kia,Rio,2013,Black,Local Used,147939,1400,N/A,Registered,Registered,Automatic
Ford,Edge,2012,Black,Local Used,102387,3500,Lagos,Registered,Registered,Automatic
Toyota,Corolla,2004,Gray,Local Used,347799,1800,Lagos,Registered,Imported,Automatic
Hyundai,Tucson,2018,Black,Local Used,29070,2000,Ebonyi,Registered,Brand new,Automatic
Lexus,ES,2011,Green,Local Used,127999,3500,Lagos,Registered,Imported,Automatic
Kia,Sportage,2009,Black,Local Used,333664,2000,ABUJA,Registered,Registered,Automatic
Volkswagen,Passat,2003,Blue,Local Used,441301,1800,LAGOS,Registered,Registered,Automatic
Toyota,Yaris,2013,Black,Local Used,141572,N/A,N/A,Registered,Imported,Automatic
Honda,Accord,2014,Gray,Foreign Used,349403,3000,N/A,Imported,Imported,Automatic
Pontiac,Vibe,2004,Gray,Local Used,299999,1800,N/A,Registered,Registered,Automatic
Toyota,Corolla,2009,Silver,Local Used,192172,1800,LAGOS,Registered,Registered,Automatic
Rover,Land,2015,Gray,Local Used,253458,3000,N/A,Registered,Imported,Automatic
Mercedes-Benz,M Class,2012,Black,Local Used,134001,3500,N/A,Registered,Imported,Automatic
Mercedes-Benz,GLK-Class,2015,Black,Local Used,176864,3500,Lagos,Registered,Imported,Automatic
Lexus,RX 300,2001,Gold,Local Used,215463,3000,LAGOS,Registered,Registered,Automatic
Hyundai,Accent,2008,Gray,Local Used,164973,1400,LAGOS,Registered,Registered,Manual
Toyota,Sienna,2006,Burgandy,Local Used,162016,3300,N/A,Registered,Registered,Automatic
Hyundai,Accent,2012,Black,Local Used,47279,1600,Lagos,Registered,Brand new,Automatic
Mazda,3,2007,Black,Local Used,259480,2500,ABUJA,Registered,Imported,Automatic
Toyota,Sienna,2004,Gold,Local Used,362357,3300,N/A,Registered,Registered,Automatic
Toyota,Corolla,2006,Black,Local Used,231897,1600,Lagos,Registered,Imported,Automatic
Toyota,Highlander,2013,Gray,Local Used,177806,3000,Lagos,Registered,Imported,Automatic
Peugeot,406,2000,Green,Local Used,1245184,1600,FCT,Registered,Imported,Manual
Mercedes-Benz,CLA-Class,2015,Black,Local Used,53999,2000,N/A,Registered,Imported,Automatic
Mercedes-Benz,GLK-Class,2013,Silver,Foreign Used,233761,3500,N/A,Imported,Imported,Automatic
Toyota,Camry,2003,Gold,Local Used,196366,2400,LAGOS,Registered,Imported,Automatic
Toyota,Avalon,2000,Gold,Local Used,181740,300,IMO,Registered,Registered,Automatic
Toyota,Corolla,2010,Red,Local Used,187187,1800,LAGOS,Registered,Registered,Automatic
