amount,name,image_url,details_url,registered_state,registered_city,make,model,year_of_manufacture,color,condition,mileage,engine_size,selling_condition,bought_condition,transmission_system
6187500,Toyota Corolla 2006 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163653385_MTgwLTEzNS02Y2Q5ZGE1YWJh.jpg,https://www.cars45.com/jEY4wdZHhwSq2Fcz5FnRMSgUDPL41I8,Abuja (FCT),Garki 2,Toyota,Corolla,2006.0,Blue,Local Used,281806.0,1800.0,Registered,Registered,Automatic
10125000,Lexus RX 2004 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163661770_MTgwLTEzNS1iZTVhYjc4Njlm.jpg,https://www.cars45.com/jEY4wdZEZuVz7Em5B7LacIyIp7aKxLO,Lagos State,Ikeja,Lexus,RX,2004.0,Black,Local Used,198307.0,3500.0,Registered,Registered,Automatic
14625000,Toyota Venza 2013 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163677577_MTgwLTEzNS0zNmE3YmRlY2Uz.jpg,https://www.cars45.com/jEY4we0193wrFWmdctX8QjuYLnrfZTN,Delta State,Oshimili South,Toyota,Venza,2013.0,Black,Local Used,179378.0,2700.0,Registered,Imported,Automatic
15187500,Hyundai Sonata 2015 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163716690_MTgwLTEzNi0wNDk0NmQ0ZjZj.jpg,https://www.cars45.com/jEY4wdZgo1iI5rFZZAev2CjGAhhdCoZ,Rivers State,Port-Harcourt,Hyundai,Sonata,2015.0,Black,Local Used,145651.0,2400.0,Registered,Imported,Automatic
10040625,Lexus ES 2010 Gold,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163706644_MTgwLTE1Mi0wYTJlMDkxMzY0LTE.jpg,https://www.cars45.com/jEY4wdZxzPBhhUuR6dSVp3YEfgkOM0E,Lagos State,Ogudu,Lexus,ES,2010.0,Gold,Local Used,95113.0,3500.0,Registered,Imported,Automatic
6187500,Toyota Camry 2009 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163710610_MTgwLTEzNS03ZjQxN2ZlZGEyLTE.jpg,https://www.cars45.com/jEY4wdZQsOvZ0ZHUzRRew5XY7v3bs6j,Lagos State,Ikorodu,Toyota,Camry,2009.0,Blue,Local Used,185234.0,2500.0,Registered,Imported,Automatic
4500000,Kia Rio 2014 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163711289_MTgwLTEzNS05NzU2MDIwNThkLTE.jpg,https://www.cars45.com/jEY4wdZxzgIYbhWqQBEp5DKtziYBcpS,Akwa Ibom State,Uyo,Kia,Rio,2014.0,Black,Local Used,80940.0,1600.0,Registered,Imported,Manual
6840000,Ford F-150 2007 White,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163712445_MTgwLTEzNS0zYjhmM2Y1ZjIwLTE.jpg,https://www.cars45.com/jEY4wdZU9dlWojtVupprvW47PmJfPtn,Lagos State,Abule Egba,Ford,F-150,2007.0,White,Local Used,372142.0,5400.0,Registered,Imported,Automatic
13950000,Toyota Corolla 2018 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163709291_MTgwLTEzNS02NzFjZDlkZGViLTE.jpg,https://www.cars45.com/jEY4wdZIUdimHAPIMMiSDROGANeKzYw,Lagos State,Ajah,Toyota,Corolla,2018.0,Gray,Local Used,,1800.0,Registered,Imported,Automatic
39375000,Lexus RX 350 2013 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163702354_MTgwLTEzNS01MTYwOWM2Yzg2.jpg,https://www.cars45.com/jEY4wdZG7we5xYRPUY94rX11HNv39BO,Lagos State,Alimosho,Lexus,RX 350,2013.0,Gray,Foreign Used,230443.0,3500.0,Imported,Imported,Automatic
2295000,Honda Civic 2004 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163707223_MTgwLTEzNi0xOWVhNzA0ZmJkLTE.jpg,https://www.cars45.com/jEY4wdZcDUjEcryaaiRRfIgJfMGnCJo,Abuja (FCT),Gwarinpa,Honda,Civic,2004.0,Gray,Local Used,287862.0,1700.0,Registered,Registered,Automatic
19125000,Honda Odyssey 2014 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163659180_MTgwLTEzNS1hNDMyMjVhMzc3LTE.jpg,https://www.cars45.com/jEY4wdZ9BZVfFmjyqqhqpr5gZZhpZcL,Oyo State,Ibadan,Honda,Odyssey,2014.0,Silver,Foreign Used,178559.0,3500.0,Imported,Imported,Automatic
2137500,Honda CR-V 2000 Green,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163700800_MTgwLTEzNi1hMWRhYmFmZmRmLTE.jpg,https://www.cars45.com/jEY4we00M3laGQBERDQK8Pzz3q4E404,Abuja (FCT),Karu,Honda,CR-V,2000.0,Green,Local Used,243689.0,2000.0,Registered,Registered,Automatic
3600000,Toyota Camry 2003 Red,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163702866_MTgwLTEzNi1kMzc0OGE3MWM1LTE.jpg,https://www.cars45.com/jEY4wdZMLABOSerzvAsq3B2mLYl7ewS,Abuja (FCT),Central Business District,Toyota,Camry,2003.0,Red,Local Used,201136.0,2400.0,Registered,Registered,Automatic
6120000,Lexus GS 2007 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163678816_MTgwLTEzNS1jMDVkMDMyMGJjLTI.jpg,https://www.cars45.com/jEY4wdZypqr4FAQcZMGrSB48tLvjU4V,Lagos State,Ikeja,Lexus,GS,2007.0,Blue,Local Used,425998.0,3500.0,Registered,Registered,Automatic
6525000,Toyota Sienna 2007 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163704147_MTgwLTEzNS0xMGIyNWVhY2Yz.jpg,https://www.cars45.com/jEY4wdZTc8VvEsgiLpSi9WLZhRngpUm,Oyo State,Ibadan,Toyota,Sienna,2007.0,Gray,Local Used,161315.0,3500.0,Registered,Registered,Automatic
6750000,Toyota Corolla 2003 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163655868_MTgwLTEzNS04YjFkOGE5ODQw.jpg,https://www.cars45.com/jlCs49QpRC5SlouR8VAWH2AkMz4UJ4,Abuja (FCT),Kubwa,Toyota,Corolla,2003.0,Blue,Local Used,152509.0,1800.0,Registered,Registered,Automatic
6187500,Toyota Sienna 2005 Gold,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163664708_MTgwLTEzNS0yY2I5NDFlOTBhLTE.jpg,https://www.cars45.com/jEY4wdZFPcUinzU5tjBuf5NGwXeE5Id,Delta State,Oshimili South,Toyota,Sienna,2005.0,Gold,Foreign Used,410283.0,3300.0,Imported,Registered,Automatic
6187500,Honda Accord Crosstour 2010 Red,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163675157_MTgwLTEzNS03YmQ4NDNhM2I2LTE.jpg,https://www.cars45.com/jEY4wdZTy0kPdRh1GnsxqdpxfOqXwFg,Lagos State,Lekki,Honda,Accord Crosstour,2010.0,Red,Local Used,140736.0,3500.0,Registered,Imported,Automatic
17437500,Toyota Camry 2015 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163683038_MTgwLTEzNS04NjI1ZWE4MzUx.jpg,https://www.cars45.com/jEY4wdZqyttIrxt0vk1YjsRt6kNEFxq,Ogun State,Abeokuta North,Toyota,Camry,2015.0,Black,Foreign Used,249468.0,2500.0,Imported,Imported,Automatic
5962500,Toyota Camry 2007 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163705662_MTgwLTEzNS0wOTg3MjM3NzBjLTE.jpg,https://www.cars45.com/jEY4wdZmqw7wvK2OAUXfF5M6zfNEGPO,Lagos State,Ajah,Toyota,Camry,2007.0,Black,Local Used,528858.0,2500.0,Registered,Imported,Automatic
12937500,BMW X6 2011 Red,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163670207_MTgwLTEzNi1jM2U3NTQzZDI3LTE.jpg,https://www.cars45.com/jEY4wdZAFYZ1AmtSL5ajUkpOvH77Kv3,Abuja (FCT),Lugbe District,BMW,X6,2011.0,Red,Local Used,217315.0,4400.0,Registered,Registered,Automatic
6502500,Toyota Camry 2007 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163680516_MTgwLTE4MC1iNmIwMjI4Yzc0LTE.jpg,https://www.cars45.com/jEY4wdZFDXN56mBJiqb5GFAeKl6TP7e,Lagos State,Ikeja,Toyota,Camry,2007.0,Silver,Local Used,131095.0,2400.0,Registered,Registered,Automatic
9000000,Hyundai Sonata 2011 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163664668_MTgwLTEzNS0wYjhiZDZiZWI1.jpg,https://www.cars45.com/jEY4wdZrM71HOepL51Ovtt86K8Sa5MX,Abuja (FCT),Lugbe District,Hyundai,Sonata,2011.0,Black,Local Used,2984430.0,2000.0,Registered,Registered,Automatic
6300000,Toyota Corolla 2008 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163673819_MTgwLTEzNS0yZjFhMDFmNTk2LTE.jpg,https://www.cars45.com/jEY4wdZiVJxAKq7cscm4fZVmMQgn2Vd,Edo State,Benin City,Toyota,Corolla,2008.0,Black,Local Used,46928.0,1800.0,Registered,Registered,Automatic
6750000,Honda CR-V 2007 Red,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163677776_MTgwLTEzNS1jZTViZmUzNzM0.jpg,https://www.cars45.com/jEY4wdZCg9fwrZhuJCcmLmlyFIK8tJw,Edo State,Benin City,Honda,CR-V,2007.0,Red,Local Used,164320.0,2400.0,Registered,Registered,Automatic
