amount,name,region,condition,mileage,image_url,details_url
6187500,Toyota Corolla 2006 Blue,"Abuja (FCT), Garki 2",Local Used,281806 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163653385_MTgwLTEzNS02Y2Q5ZGE1YWJh.jpg,https://www.cars45.com/jEY4wdZHhwSq2Fcz5FnRMSgUDPL41I8
10125000,Lexus RX 2004 Black,"Lagos State, Ikeja",Local Used,198307 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163661770_MTgwLTEzNS1iZTVhYjc4Njlm.jpg,https://www.cars45.com/jEY4wdZEZuVz7Em5B7LacIyIp7aKxLO
14625000,Toyota Venza 2013 Black,"Delta State, Oshimili South",Local Used,179378 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163677577_MTgwLTEzNS0zNmE3YmRlY2Uz.jpg,https://www.cars45.com/jEY4we0193wrFWmdctX8QjuYLnrfZTN
15187500,Hyundai Sonata 2015 Black,"Rivers State, Port-Harcourt",Local Used,145651 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163716690_MTgwLTEzNi0wNDk0NmQ0ZjZj.jpg,https://www.cars45.com/jEY4wdZgo1iI5rFZZAev2CjGAhhdCoZ
10040625,Lexus ES 2010 Gold,"Lagos State, Ogudu",Local Used,95113 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163706644_MTgwLTE1Mi0wYTJlMDkxMzY0LTE.jpg,https://www.cars45.com/jEY4wdZxzPBhhUuR6dSVp3YEfgkOM0E
6187500,Toyota Camry 2009 Blue,"Lagos State, Ikorodu",Local Used,185234 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163710610_MTgwLTEzNS03ZjQxN2ZlZGEyLTE.jpg,https://www.cars45.com/jEY4wdZQsOvZ0ZHUzRRew5XY7v3bs6j
4500000,Kia Rio 2014 Black,"Akwa Ibom State, Uyo",Local Used,80940 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163711289_MTgwLTEzNS05NzU2MDIwNThkLTE.jpg,https://www.cars45.com/jEY4wdZxzgIYbhWqQBEp5DKtziYBcpS
6840000,Ford F-150 2007 White,"Lagos State, Abule Egba",Local Used,372142 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163712445_MTgwLTEzNS0zYjhmM2Y1ZjIwLTE.jpg,https://www.cars45.com/jEY4wdZU9dlWojtVupprvW47PmJfPtn
13950000,Toyota Corolla 2018 Gray,"Lagos State, Ajah",Local Used,Local Used,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163709291_MTgwLTEzNS02NzFjZDlkZGViLTE.jpg,https://www.cars45.com/jEY4wdZIUdimHAPIMMiSDROGANeKzYw
39375000,Lexus RX 350 2013 Gray,"Lagos State, Alimosho",Foreign Used,230443 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163702354_MTgwLTEzNS01MTYwOWM2Yzg2.jpg,https://www.cars45.com/jEY4wdZG7we5xYRPUY94rX11HNv39BO
2295000,Honda Civic 2004 Gray,"Abuja (FCT), Gwarinpa",Local Used,287862 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163707223_MTgwLTEzNi0xOWVhNzA0ZmJkLTE.jpg,https://www.cars45.com/jEY4wdZcDUjEcryaaiRRfIgJfMGnCJo
19125000,Honda Odyssey 2014 Silver,"Oyo State, Ibadan",Foreign Used,178559 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163659180_MTgwLTEzNS1hNDMyMjVhMzc3LTE.jpg,https://www.cars45.com/jEY4wdZ9BZVfFmjyqqhqpr5gZZhpZcL
2137500,Honda CR-V 2000 Green,"Abuja (FCT), Karu",Local Used,243689 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163700800_MTgwLTEzNi1hMWRhYmFmZmRmLTE.jpg,https://www.cars45.com/jEY4we00M3laGQBERDQK8Pzz3q4E404
3600000,Toyota Camry 2003 Red,"Abuja (FCT), Central Business District",Local Used,201136 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163702866_MTgwLTEzNi1kMzc0OGE3MWM1LTE.jpg,https://www.cars45.com/jEY4wdZMLABOSerzvAsq3B2mLYl7ewS
6120000,Lexus GS 2007 Blue,"Lagos State, Ikeja",Local Used,425998 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163678816_MTgwLTEzNS1jMDVkMDMyMGJjLTI.jpg,https://www.cars45.com/jEY4wdZypqr4FAQcZMGrSB48tLvjU4V
6525000,Toyota Sienna 2007 Gray,"Oyo State, Ibadan",Local Used,161315 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163704147_MTgwLTEzNS0xMGIyNWVhY2Yz.jpg,https://www.cars45.com/jEY4wdZTc8VvEsgiLpSi9WLZhRngpUm
6750000,Toyota Corolla 2003 Blue,"Abuja (FCT), Kubwa",Local Used,152509 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163655868_MTgwLTEzNS04YjFkOGE5ODQw.jpg,https://www.cars45.com/jlCs49QpRC5SlouR8VAWH2AkMz4UJ4
6187500,Toyota Sienna 2005 Gold,"Delta State, Oshimili South",Foreign Used,410283 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163664708_MTgwLTEzNS0yY2I5NDFlOTBhLTE.jpg,https://www.cars45.com/jEY4wdZFPcUinzU5tjBuf5NGwXeE5Id
6187500,Honda Accord Crosstour 2010 Red,"Lagos State, Lekki",Local Used,140736 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163675157_MTgwLTEzNS03YmQ4NDNhM2I2LTE.jpg,https://www.cars45.com/jEY4wdZTy0kPdRh1GnsxqdpxfOqXwFg
17437500,Toyota Camry 2015 Black,"Ogun State, Abeokuta North",Foreign Used,249468 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163683038_MTgwLTEzNS04NjI1ZWE4MzUx.jpg,https://www.cars45.com/jEY4wdZqyttIrxt0vk1YjsRt6kNEFxq
5962500,Toyota Camry 2007 Black,"Lagos State, Ajah",Local Used,528858 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163705662_MTgwLTEzNS0wOTg3MjM3NzBjLTE.jpg,https://www.cars45.com/jEY4wdZmqw7wvK2OAUXfF5M6zfNEGPO
12937500,BMW X6 2011 Red,"Abuja (FCT), Lugbe District",Local Used,217315 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163670207_MTgwLTEzNi1jM2U3NTQzZDI3LTE.jpg,https://www.cars45.com/jEY4wdZAFYZ1AmtSL5ajUkpOvH77Kv3
6502500,Toyota Camry 2007 Silver,"Lagos State, Ikeja",Local Used,131095 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163680516_MTgwLTE4MC1iNmIwMjI4Yzc0LTE.jpg,https://www.cars45.com/jEY4wdZFDXN56mBJiqb5GFAeKl6TP7e
9000000,Hyundai Sonata 2011 Black,"Abuja (FCT), Lugbe District",Local Used,2984430 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163664668_MTgwLTEzNS0wYjhiZDZiZWI1.jpg,https://www.cars45.com/jEY4wdZrM71HOepL51Ovtt86K8Sa5MX
6300000,Toyota Corolla 2008 Black,"Edo State, Benin City",Local Used,46928 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163673819_MTgwLTEzNS0yZjFhMDFmNTk2LTE.jpg,https://www.cars45.com/jEY4wdZiVJxAKq7cscm4fZVmMQgn2Vd
6750000,Honda CR-V 2007 Red,"Edo State, Benin City",Local Used,164320 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163677776_MTgwLTEzNS1jZTViZmUzNzM0.jpg,https://www.cars45.com/jEY4wdZCg9fwrZhuJCcmLmlyFIK8tJw
4071093,Kia Rio 2013 Black,"Abuja (FCT), Jabi",Local Used,147939 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163672614_MTgwLTEzNS0xNWNkOTU4NjQ3LTE.jpg,https://www.cars45.com/jEY4wdZPPqE17Mc9TG2cGm9mGRkxlT7
7312500,Ford Edge 2012 Black,"Lagos State, Ikeja",Local Used,102387 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163675754_MTgwLTE4MC0wNGI5MGVkNTQw.jpg,https://www.cars45.com/jEY4wdZXSE0rOm3VzdFkUS216n7cn1d
3543750,Toyota Corolla 2004 Gray,"Lagos State, Amuwo-Odofin",Local Used,347799 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163668528_MTgwLTEzNS0xYjdkYmZjMTkwLTE.jpg,https://www.cars45.com/jEY4wdZxS8QONrNRh7o6rP97yScYcxZ
135000000,Hyundai Tucson 2018 Black,"Imo State, Owerri",Local Used,29070 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163662636_MTgwLTEzNi01NzQ3OGRjYjcyLTE.jpg,https://www.cars45.com/jEY4we00uTKP4EzrePGX7jnwliObG35
12375000,Lexus ES 2011 Green,"Abuja (FCT), Lugbe District",Local Used,127999 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163584331_MTgwLTEzNS1jNWU5ODVkMzli.jpg,https://www.cars45.com/jEY4wdZwPmcUGnc5pxzEeI5TrCdkxvO
5625000,Kia Sportage 2009 Black,"Abuja (FCT), Jabi",Local Used,333664 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163595377_MTgwLTEzNS02MjY1ZmNmMzAy.jpg,https://www.cars45.com/jEY4wdZqjSXfiB5KsGRNmxnB2y6WUZP
2812500,Volkswagen Passat 2003 Blue,"Lagos State, Alimosho",Local Used,441301 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163585089_MTgwLTEzNS03OTAyYjg3NDg4.jpg,https://www.cars45.com/jEY4wdZyR6WrATZ4pgQ0GvYA1ZXqr5D
7875000,Toyota Yaris 2013 Black,"Abuja (FCT), Garki 2",Local Used,141572 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163582862_MTgwLTEzNS05MGViOWVjY2Jm.jpg,https://www.cars45.com/jEY4wdZmO1Jn7VVmzlJuiba042GI0nb
16875000,Honda Accord 2014 Gray,"Lagos State, Ilupeju",Foreign Used,349403 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163598759_MTgwLTEzNS0zNjJjZjM0YjNh.jpg,https://www.cars45.com/jEY4wdZvsgD2bl9On0jy42cvhhszGXM
4500000,Pontiac Vibe 2004 Gray,"Abuja (FCT), Gwarinpa",Local Used,299999 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163670728_MTgwLTEzNi1lYTEzNzg2MjQ3.jpg,https://www.cars45.com/jEY4wdZuIemBV9OHgP5G0nPScP6tVxk
6750000,Toyota Corolla 2009 Silver,"Lagos State, Abule Egba",Local Used,192172 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163673454_MTgwLTEzNS0yZjgxY2Q5ODI4LTE.jpg,https://www.cars45.com/jEY4wdZpQ6o9dllR104FWxDlgiFzYEH
43875000,Rover Land 2015 Gray,"Abuja (FCT), Jabi",Local Used,253458 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163594458_MTgwLTEzNS02NjdkNjY0NjZmLTE.jpg,https://www.cars45.com/jEY4wdZHTvoN6NsDJuWLOmpYRCOeTU6
19350000,Mercedes-Benz M Class 2012 Black,"Lagos State, Surulere",Local Used,134001 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163669220_MTgwLTEzNS01ZTE0YzdlYzc3LTE.jpg,https://www.cars45.com/jEY4we00laEqgTSNJdBcyRjP1TlPpao
20250000,Mercedes-Benz GLK-Class 2015 Black,"Lagos State, Lekki",Local Used,176864 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163584385_MTgwLTEzNS01YmY0YzZiMzUw.jpg,https://www.cars45.com/jEY4wdZvnW1B1EdGIcJYb0JUF9MjY54
4320000,Lexus RX 300 2001 Gold,"Lagos State, Ojodu",Local Used,215463 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163667203_MTgwLTEzNS1iNTk4YTk4ZjVkLTE.jpg,https://www.cars45.com/jEY4wdZQE2itMC9NBQRbBfkDSESJrhy
3600000,Hyundai Accent 1.3 GLS 2008 Gray,"Lagos State, Ojodu",Local Used,164973 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163669042_MTgwLTEzNS04ODUyMTIyZTgxLTI.jpg,https://www.cars45.com/jEY4wdZGbvXZROYX0kaN9p03De5Vdv5
5310000,Toyota Sienna 2006 Burgandy,"Rivers State, Port-Harcourt",Local Used,162016 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163667941_MTgwLTgxLTY2ZDMwYjZhNDctMQ.jpg,https://www.cars45.com/jEY4we00D99hT5BM12BJ19ZRCB6H6O3
5220000,Hyundai Accent 2012 Black,"Lagos State, Lekki",Local Used,47279 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163664025_MTgwLTEzNS1mMDlmMGRhYTQxLTE.jpg,https://www.cars45.com/jEY4wdZFOEJmJLbbF0Tip7nLHktH0Hh
2812500,Mazda 3 2007 Black,"Edo State, Benin City",Local Used,259480 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163656388_MTgwLTEzNS0zYjc0NGY2NDYzLTE.jpg,https://www.cars45.com/jlCs49Q6bmky32TtD0hrmNR3nduS2N
5512500,Toyota Sienna 2004 Gold,"Lagos State, Surulere",Local Used,362357 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163663948_MTgwLTEzNS04YWZhMDQ2YjNiLTE.jpg,https://www.cars45.com/jlCs49PlgAywywXuBDOehkd6spusgI
6750000,Toyota Corolla 2006 Black,"Lagos State, Alimosho",Local Used,231897 km,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163499387_MTgwLTEzNS01M2I0N2M5MTcw.jpg,https://www.cars45.com/jEY4we00hVxuF0pdwV1ftRDaABK6yPP
