title,subtitle,author,runtime,regular_price,release_date,ratings
I Will Mend You,"Pen Pal Duet, Book 2",Gigi Styx,Length: 18 hrs and 53 mins,$24.95,Release date: 12-18-24,5 out of 5 stars
The Win Machine,The Road to Hell is Paved with Intervention,Ryan McBeth,Length: 5 hrs and 56 mins,$19.95,Release date: 12-19-24,5 out of 5 stars
Dark Princess: Shadows,"The Children of the Gods Paranormal Romance, Book 89",I. T. Lucas,Length: 8 hrs and 41 mins,$19.95,Release date: 12-18-24,5 out of 5 stars
Grouch-ish,,L.B. Dunbar,Length: 5 hrs and 36 mins,$19.95,Release date: 12-18-24,5 out of 5 stars
A Dare to Remember,,T.B. Markinson,Length: 8 hrs and 52 mins,$19.95,Release date: 12-17-24,5 out of 5 stars
Scallops and Sorcerers,Vampire Knitting Club: Cornwall,Nancy Warren,Length: 5 hrs and 35 mins,$19.95,Release date: 12-17-24,4.5 out of 5 stars
Test Me,"Extracurricular Activities, Book 5",Neve Wilder,Length: 2 hrs and 46 mins,$6.95,Release date: 12-18-24,5 out of 5 stars
The Southern Fraud,"The Southern Lawyer Series, Book 5",Peter O'Mahoney,Length: 7 hrs and 10 mins,$29.90,Release date: 01-07-25,
Mafia King's Bride,,A J Summers,Length: 8 hrs and 11 mins,$19.95,Release date: 12-17-24,4.5 out of 5 stars
Van Helsing's Castle: The Complete Omnibus,Including the Unreleased Third and Final Volume,Virgil Knightley,Length: 25 hrs and 58 mins,$54.99,Release date: 12-19-24,5 out of 5 stars
Xmas Break,,J. E. Rowney,Length: 4 hrs and 11 mins,$14.95,Release date: 12-18-24,3 out of 5 stars
Threshold,Stories from Cradle,Will Wight,Length: 8 hrs and 35 mins,$29.95,Release date: 01-07-25,
Brutal Savage,"A Single Dad Forced Marriage Irish Mafia Romance (Savage Kings, Book 2)",Lilian Harris,Length: 12 hrs and 12 mins,$24.95,Release date: 12-17-24,5 out of 5 stars
Scorch,"Smoke Series, Book 9",Abbi Glines,Length: 8 hrs and 8 mins,$19.95,Release date: 12-17-24,5 out of 5 stars
Women Embracing Peace,"Mindfulness and Meditation Practices to Release Control, Reduce Stress, Regulate Emotions, and Embrace Self-Compassion (The Empowered Woman Series Book 2)",Eve Meadows,Length: 5 hrs and 5 mins,$19.95,Release date: 12-19-24,5 out of 5 stars
The Betrayed,"Galaxy's Edge Season 3, Book 2",Jason Anspach,Length: 8 hrs and 38 mins,$54.99,Release date: 03-11-25,
The Second Coming of Saturn,"The Great Conjunction, America’s Temple, and the Return of the Watchers",Derek P. Gilbert,Length: 10 hrs and 9 mins,$24.95,Release date: 12-17-24,
Disappearing the President,"Trump, Truth Social, and the Fight for the Republic",Lee Smith,Length: 7 hrs and 33 mins,$20.97,Release date: 12-17-24,4 out of 5 stars
School of Magic 1,"School of Magic 1, Book 1",Dante King,Length: 10 hrs and 41 mins,$48.99,Release date: 12-17-24,4.5 out of 5 stars
Gaze,,Kris Bryant,Length: 8 hrs and 15 mins,$19.95,Release date: 12-17-24,3 out of 5 stars
